# Auto-includes
Sol Ring,100
Arcane Signet,100

# Almost every deck
Command Tower,90

# Excellent fixing
Fabled Passage,50
Terramorphic Expanse,40
Evolving Wilds,40
Ash Barrens,40
Exotic Orchard,45

# Generic ramp
Wayfarer's Bauble,40
Thought Vessel,35
Mind Stone,35
Fellwar Stone,40
Commander Sphere,25

# Colorless utility
Swiftfoot Boots,45
Lightning Greaves,45
Skullclamp,55
Sensei's Divining Top,45
The One Ring,80

# White
Swords to Plowshares,70
Path to Exile,65
Generous Gift,55
Smothering Tithe,90
Teferi's Protection,90
Farewell,75
Wrath of God,55

# Blue
Counterspell,50
Arcane Denial,45
Swan Song,60
Cyclonic Rift,95
Rhystic Study,95
Mystic Remora,90
Ponder,30
Preordain,30
Brainstorm,25

# Black
Demonic Tutor,95
Vampiric Tutor,100
Diabolic Intent,70
Feed the Swarm,55
Toxic Deluge,85
Deadly Rollick,80
Phyrexian Arena,55

# Red
Chaos Warp,65
Blasphemous Act,70
Jeska's Will,90
Dockside Extortionist,100
Faithless Looting,45

# Green
Cultivate,50
Kodama's Reach,50
Nature's Lore,55
Three Visits,60
Rampant Growth,30
Farseek,40
Heroic Intervention,75
Beast Within,60
Return of the Wildspeaker,40

# Multicolor
Assassin's Trophy,70
Anguished Unmaking,70
Utter End,45
Aura Shards,60

# Lands
Reliquary Tower,40
Bojuka Bog,50
Rogue's Passage,25
